Alimento;Unidad individual;Peso unitario individual;Porción comestible;Energía (kcal/100 g);Proteína (g/100 g);Lípidos totales (g/100 g);AG Saturados (g/100 g);Colesterol (g/100 g);Hidratos de Carbono ((g/100 g);Azúcar (g/100 g);Fibra (g/100 g);Na, Sodio [mg/100 g];Subgrupo
Limón sin semilla;pieza;35;1;20;1.2;0.3;0;0;10.7;0;2.1;3;Libre
Manzanilla fresca;g;1;1;46;2.3;1.6;0;0;7.7;0;1.2;0;Libre
Manzanilla seca;bolsa;2;1;1;0;0;0;0;0;0;0;0;Libre
Mejorana;cucharadita;1;1;300;10;10;0;0;60;0;40;100;Libre
Menta;cucharadita;1;1;500;0;0;0;0;50;0;0;500;Libre
Menta fresca;cucharadita;1;1;100;10;0;0;0;20;0;10;0;Libre
Menta molida;cucharadita;2;1;300;10;10;0;0;60;0;40;100;Libre
Mostaza;cucharadita;5;1;100;6;6;0;0;6;0;0;1300;Libre
Mostaza Dijón;cucharadita;5;1;100;6;6;0;0;6;0;0;1300;Libre
Mostaza en polvo;cucharadita;3;1;299;16.6;19.9;0;0;9.9;0;1;9;Libre
Nuez moscada;cucharadita;2;1;500;5;35;25;0;50;0;20;0;Libre
Nuez moscada molida;cucharadita;2;1;500;5;35;25;0;50;0;20;0;Libre
Nutra sweet;sobre;1.2;1;1;0;0;0;0;0;0;0;0;Libre
Orange crush diet;lata;355;1;5.6;0;0;0;0;1.4;1.4;0;12.5;Libre
Orégano;cucharadita;2;1;300;10;10;5;0;65;0;45;0;Libre
Orégano molido;cucharadita;1.5;1;300;10;10;5;0;65;0;45;0;Libre
Orégano troceado;cucharadita;2;1;300;10;10;5;0;65;0;45;0;Libre
Paprika;cucharadita;2;1;300;15;15;0;0;55;0;20;50;Libre
Pepsi de dieta;lata;355;1;1;0;0;0;0;0;0;0;9.7;Libre
Pepsi Max;lata;355;1;1;0;0;0;0;0;0;0;9.7;Libre
Perejil deshidratado;cucharada;3;1;300;20;0;0;0;50;0;30;500;Libre
Pimentón;cucharadita;2;1;300;15;15;0;0;55;0;20;50;Libre
Pimienta;cucharadita;2;1;250;10;5;0;0;65;0;25;50;Libre
Pimienta blanca;cucharadita;2;1;300;10;0;0;0;70;0;25;0;Libre
Pimienta blanca en polvo;cucharadita;2;1;300;10;0;0;0;70;0;25;0;Libre
Pimienta blanca entera;cucharadita;3.5;1;250;10;5;0;0;65;0;25;50;Libre
Pimienta blanca molida;cucharadita;2;1;300;10;0;0;0;70;0;25;0;Libre
Pimienta de cayena;cucharadita;2;1;300;10;15;5;0;55;0;25;50;Libre
Pimienta de tabasco;cucharadita;2;1;300;10;15;5;0;55;0;25;50;Libre
Pimienta gorda;cucharadita;3.5;1;250;10;5;0;0;65;0;25;50;Libre
Pimienta molida;cucharadita;2;1;250;10;5;0;0;65;0;25;50;Libre
Pimienta negra;cucharadita;2;1;250;10;5;0;0;65;0;25;50;Libre
Pimienta negra en polvo;cucharadita;2;1;250;10;5;0;0;65;0;25;50;Libre
Pimienta negra entera;cucharadita;3.5;1;250;10;5;0;0;65;0;25;50;Libre
Pimienta negra molida;cucharadita;2;1;250;10;5;0;0;65;0;25;50;Libre
Pimienta roja;cucharadita;2;1;300;10;15;5;0;55;0;25;50;Libre
Pimienta verde;cucharadita;2;1;300;10;0;0;0;70;0;25;0;Libre
Raíz de jengibre;cucharadita;2;1;70.8;1.7;0.8;0;0;15;0;2.1;12.5;Libre
Raíz fuerte;g;1;1;70.8;1.7;0.8;0;0;15;0;2.1;12.5;Libre
Raja de canela;pieza;7;1;250;5;5;0;0;80;0;55;50;Libre
Ralladura de limón;cucharadita;2;1;50;1.7;0;0;0;16.7;0;10;0;Libre
Ralladura de naranja;cucharadita;2;1;100;1.7;0;0;0;25;0;10;0;Libre
Red Bull sugar free *;lata;250;1;5;0.3;0.1;0;0;0.7;0;0;84;Libre
Refresco de dieta;lata;355;1;0.4;0;0;0;0;0;0;0;1.6;Libre
Refresco en polvo sin azúcar;sobre;1.2;1;416.7;0;0;0;0;0;0;0;166.7;Libre
Romero;cucharadita;3;1;350;5;15;10;0;65;0;45;50;Libre
Romero deshidratado;cucharadita;2;1;350;5;15;10;0;65;0;45;50;Libre
Romero picado;cucharadita;3.5;1;350;5;15;10;0;65;0;45;50;Libre
Sal;cucharadita;6;1;0;0;0;0;0;0;0;0;38750;Libre
Sal de ajo;cucharadita;4.8;1;83.3;0;0;0;0;16.7;0;0;15833;Libre
Sal de apio;cucharadita;4.8;1;83.3;0;0;0;0;16.7;0;0;15833;Libre
Sal de potasio;cucharadita;4.8;1;0.5;0;0;0;0;0;0;0;0;Libre
Salsa de barbecue;cucharada;15;1;79.5;1.9;1.9;0;0;13.3;0;0.6;865.8;Libre
Salsa de soya;cucharadita;5;1;61.1;8.3;0;0;0;5.6;5.6;0;6816.7;Libre
Salsa inglesa;cucharada;15;1;100;13;7;0;0;50;0;0;1100;Libre
Salsa Tabasco;cucharadita;6;1;20;0;0;0;0;2;0;0;640;Libre
Salsa teriyaki;cucharadita;5;1;94.4;6.1;0.6;0;0;15.6;11.1;0;5094.4;Libre
Salvia;cucharadita;1;1;300;10;10;10;0;60;0;40;0;Libre
Semilla de anís;cucharadita;2;1;350;20;15;0;0;50;0;15;0;Libre
Semilla de apio;cucharadita;2;1;400;20;25;0;0;40;0;10;150;Libre
Semilla de cardamomo;cucharadita;2;1;300;10;5;0;0;70;0;30;0;Libre
Semilla de cilantro;cucharadita;2;1;300;10;20;0;0;55;0;40;50;Libre
Semilla de eneldo;cucharadita;2;1;300;15;15;0;0;55;0;20;0;Libre
Semilla de mostaza;cucharadita;3;1;466.7;23.3;30;0;0;33.3;0;13.3;0;Libre
Sidral de dieta;lata;355;1;0.4;0;0;0;0;0;0;0;1.6;Libre
Sidral light;lata;355;1;0.4;0;0;0;0;0;0;0;1.6;Libre
Squirt  de dieta;lata;355;1;0.4;0;0;0;0;0;0;0;1.6;Libre
Squirt light;lata;355;1;0.4;0;0;0;0;0;0;0;1.6;Libre
Tomillo;cucharadita;2;1;350;10;10;5;0;65;0;20;50;Libre
Vainilla;cucharadita;5;1;150;0;0;0;0;7.5;0;0;0;Libre
Vainilla en trozo;raja;10;1;250;5;5;0;0;80;0;55;50;Libre
Vinagre;cucharadita;5;1;13.3;0;0;0;0;6;0;0;0;Libre
Vinagre balsámico;cucharadita;5;1;13.3;0;0;0;0;6;0;0;0;Libre
Vinagre blanco;cucharadita;5;1;13.3;0;0;0;0;5.3;0;0;0;Libre
Vinagre de caña;cucharadita;5;1;13.3;0;0;0;0;5.3;0;0;0;Libre
Vinagre de fruta;cucharadita;5;1;13.3;0;0;0;0;6;0;0;0;Libre
Vinagre de jeréz;cucharadita;5;1;13.3;0;0;0;0;6;0;0;0;Libre
Vinagre de manzana;cucharadita;5;1;13.3;0;0;0;0;6;0;0;0;Libre
Vinagre de sidra;cucharadita;5;1;13.3;0;0;0;0;6;0;0;0;Libre
Vinagre de vino;cucharadita;5;1;13.3;0;0;0;0;6;0;0;0;Libre
Vinagre de yema;cucharadita;5;1;13.3;0;0;0;0;6;0;0;0;Libre
Acelga cocida;taza;144;1;27;2.6;0.2;0;0;5.5;0.6;2.9;241;Verduras
Acelga cruda;taza;60;1;22;2.2;0.1;0;0;4.3;0.5;3.7;226;Verduras
Alcachofa mediana cocida;pieza;120;1;53;2.9;0.3;0;0;12;1;8.6;60;Verduras
Apio cocido;taza;150;1;18;0.8;0.2;0;0;4;2.4;1.6;91;Verduras
Apio crudo;taza;101;1;16;0.7;0.2;0;0;3;1.8;1.6;80;Verduras
Berenjena cocida;taza;99;1;35;0.8;0.2;0;0;8.7;3.2;2.5;2.1;Verduras
Berro crudo;taza;34;1;61;2.3;0.1;0;0;1.3;0.2;0.5;20;Verduras
Betabel crudo;pieza;170;1;49;2.1;0.2;0;0;10.9;ND;0.8;60;Verduras
Betabel crudo rallado;taza;150;1;49;2.1;0.2;0;0;10.9;ND;0.8;60;Verduras
Bledos crudos;g;1;1;29;2.5;0.3;0.1;0;4;ND;1;20;Verduras
Brócoli cocido;taza;184;1;28.2;2.9;0.4;0;0;5;1.4;2.9;25.6;Verduras
Brócoli crudo;taza;88;1;27.3;3;0.5;0;0;5.2;1.6;3;27.3;Verduras
Calabacita alargada cruda;pieza;111;1;23;1.8;0.1;0;0;3.7;ND;1.5;1;Verduras
Calabacita redonda cruda;pieza;100;1;23;1.8;0.1;0;0;3.7;ND;1.5;1;Verduras
Calabaza de Castilla cocida;taza;220;1;20;0.7;0.1;0.1;0;4.9;1;1.1;1;Verduras
Cebolla blanca rebanada;taza;115;1;40;1.1;0.1;0;0;9.3;4.2;1.7;4;Verduras
Cebolla cocida;taza;210;1;43.8;1.4;0.2;0;0;10.2;4.7;1.4;2.9;Verduras
Cebolla morada rebanada;taza;115;1;35;0.8;0.1;0;0;7.7;ND;1.3;10;Verduras
Cebollita de cambray sin raiz;pieza;25;1;32;1.8;0.2;0;0;7.3;2.3;2.6;16;Verduras
Cebollitas en salmuera;taza;190;1;25.3;1;0.2;0;0;7;ND;1.7;201.7;Verduras
Champiñón cocido entero;taza;156;1;26;3.6;0.3;0.1;0;4;ND;1.8;12;Verduras
Champiñón cocido rebanado;taza;140;1;26;3.6;0.3;0.1;0;4;ND;1.8;12;Verduras
Champiñón crudo entero;taza;96;1;22;3.1;0.3;0.1;0;3.3;1.7;1;5;Verduras
Champiñón crudo rebanado;taza;70;1;22;3.1;0.3;0.1;0;3.3;1.7;1;5;Verduras
Chayote cocido picado;taza;160;1;24;0.6;0.5;0.1;0;5.1;ND;2.8;1;Verduras
Chayote crudo;pieza;203;1;19;0.8;0.1;0;0;4.5;1.7;1.7;2;Verduras
Chepil crudo;taza;34;1;63;6.9;0.6;0;0;7.5;ND;2.2;ND;Verduras
Chícharo cocido;taza;160;1;84;5.4;0.2;0;0;15.4;5.9;5.5;3;Verduras
Chícharo crudo con vaina;taza;145;1;81;5.4;0.4;0;0;14.5;5.7;5.1;5;Verduras
Chícharo en vaina cocido;taza;160;1;40;3.3;0.2;0;0;6.5;4;2.8;4;Verduras
Chicoria cruda;taza;47;1;20;1.2;0.2;0.1;0;3.4;ND;0.9;22;Verduras
Chilacas crudas;pieza;30;1;32;1.5;0.3;0;0;7.3;ND;0.9;7;Verduras
Chilacayote crudo;pieza;100;1;14;1.2;0.2;0;0;2.7;ND;0.3;ND;Verduras
Chile chilaca;pieza;30;1;39;1.5;0.3;0;0;7.3;ND;0.9;7;Verduras
Chile chipotle seco;pieza;5;1;344;14.1;6.3;0;0;57.6;ND;6.9;ND;Verduras
Chile costeño;pieza;16;1;32;1.7;0.2;0;0;7.3;ND;2.1;7;Verduras
Chile cristalino;pieza;16;1;38;1.7;0.2;0;0;7.3;ND;2.1;7;Verduras
Chile cuaresmeño;pieza;30;1;32;1.5;0.3;0;0;7.3;ND;0.9;7;Verduras
Chile de árbol seco;pieza;2;1;312;12.9;6.4;0;0;63.6;ND;31.1;0;Verduras
Chile habanero;pieza;16;1;37;2.2;0.8;0.1;0;5.3;ND;1.6;7;Verduras
Chile jalapeño;pieza;15;1;30;1.4;0.6;0.1;0;5.9;3.5;2.8;1;Verduras
Chile poblano;pieza;80;1;48;2.6;0.6;0.1;0;10.4;ND;0.4;7;Verduras
Chiles secos;pieza;10;1;334;11.5;9.8;0;0;62.7;ND;0.3;0;Verduras
Cilantro picado crudo;taza;60;1;23;2.1;0.5;0;0;3.7;0.9;2.8;46;Verduras
Clavito (hongo) crudo;taza;75;1;39;6;0.5;0;0;5.3;ND;1.6;0;Verduras
Col cocida picada;taza;150;1;22.7;1.3;0.1;0;0;5.5;2.8;1.9;8;Verduras
Col cruda picada;taza;70;1;24;1.2;0.2;0;0;5.4;2.8;2.3;18;Verduras
Col morada cruda picada;taza;70;1;31;1.4;0.2;0;0;7.4;3.8;2.1;27;Verduras
Colecita de Bruselas cocida;pieza;21;1;36;2.6;0.5;0.1;0;7.1;1.7;2.6;21;Verduras
Coliflor cocida;taza;125;1;22.6;1.8;0.5;0;0;4.1;2.1;2.3;15;Verduras
Coliflor cruda;taza;100;1;25;2;0.1;0;0;5.3;2.4;2.5;30;Verduras
Coliflor verde cocida;taza;135;1;32.3;3.1;0.3;0;0;6.3;ND;3.3;22.6;Verduras
Coliflor verde cruda;taza;64;1;31;3;0.3;0;0;6.1;3;3.2;23;Verduras
Colinabo crudo;pieza;170;1;33;1.7;0.1;0;0;6.2;ND;2.1;20;Verduras
Corazón de alcachofa crudo;pieza;25;1;65;2.2;0.1;0.1;0;16.5;ND;1.1;80;Verduras
Corazón de lechuga crudo;pieza;130;1;10;1;0;0;0;3.6;2.5;1.5;10;Verduras
Corazón de palmito crudo;pieza;33;1;27.3;2.4;0.6;0;0;4.5;ND;2.4;427.3;Verduras
Cresón cocido;taza;135;1;23;1.9;0.6;0;0;3.8;3.1;0.7;8;Verduras
Cresón limpio crudo;taza;50;1;32;2.8;0.8;0;0;5.6;4.4;1.2;14;Verduras
Crucetas crudas;taza;149;1;18;1.1;0.2;0;0;3.7;ND;0.7;0;Verduras
Cuitlacoche cocido;taza;200;1;31;1.2;0.1;0;0;6.2;ND;1.8;0;Verduras
Echalot;pieza;40;1;72;2.5;0.1;0;0;16.8;ND;ND;12;Verduras
Ejotes cocidos picados;taza;125;1;35;1.9;0.3;0.1;0;7.9;1.6;3.2;1;Verduras
Elotitos de cambray;pieza;8;1;40;3.3;0;0;0;6.7;2.6;2.8;216;Verduras
Endivia cruda;taza;50;1;17;1.3;0.2;0;0;3.4;0.3;3.1;22;Verduras
Espárragos;pieza;15;1;24.4;2.6;0.3;0.1;0;4.2;1.6;1.6;11.1;Verduras
Espinaca cocida;taza;180;1;23.3;3;0.2;0;0;3.8;0.4;2.4;70;Verduras
Espinaca cruda;taza;60;1;23;2.9;0.4;0.1;0;3.6;0.4;2.2;78.6;Verduras
Flor de calabaza cocida;taza;134;1;14.9;1;0.1;0;0;3.3;2.4;0.9;6;Verduras
Flor de calabaza cruda;taza;33;1;15.2;0.9;0;0;0;3.3;ND;ND;5;Verduras
Flor de colorín cocida;taza;80;1;59;4.4;0.2;0;0;10;ND;2.4;ND;Verduras
Flor de colorín cruda;taza;40;1;59;4.4;0.2;0;0;10;ND;2.4;ND;Verduras
Flor de garambullo cruda;taza;40;1;38;0.8;0.2;0;0;8.2;ND;0.8;ND;Verduras
Flor de maguey cruda;taza;40;1;35;0.9;0.2;0;0;7.3;ND;0.6;ND;Verduras
Flor de Yuca cruda;taza;33;1;38;2.6;0.4;0;0;6;ND;0.6;ND;Verduras
Germen de alfalfa crudo;taza;33;1;23;4;0.7;0.1;0;2.1;0.2;1.9;6.1;Verduras
Germen de lenteja crudo;taza;77;1;106;9;0.6;0.1;0;22.1;ND;ND;11;Verduras
Germen de soya cocido;taza;94;1;80.9;8.5;4.5;0.6;0;6.6;0.5;0.9;10;Verduras
Haba verde;pieza;8;1;72;5.6;0.6;0;0;11.7;ND;4.2;50;Verduras
Hojas de amaranto cocidas;taza;180;1;21;2.1;0.2;0;0;4.1;ND;ND;21;Verduras
Hojas de amaranto crudas;taza;60;1;23;2.5;0.3;0;0;4;ND;ND;20;Verduras
Hojas de chicoria crudas;taza;47;1;20;1.2;0.2;0.1;0;3.4;ND;0.9;22;Verduras
Hojas de diente de león;taza;20;1;54;2.7;0.7;0;0;9.2;ND;1.8;76;Verduras
Hojas de pata de paloma;taza;100;1;81;3.2;1.5;0;0;16.9;ND;1.8;ND;Verduras
Hongo portobello crudo;pieza;84;1;26;2.5;0.2;0;0;5.1;1.8;1.5;6;Verduras
Hongo shiitake deshidratado;pieza;3.6;1;296;9.6;1;0.2;0;75.4;2.2;11.5;13;Verduras
Hongos crudos;taza;70;1;27;3.2;0.4;0.1;0;4.4;ND;2.5;4;Verduras
Huauzontle;taza;80;1;60;4.6;0.7;0;0;12.1;ND;2.8;ND;Verduras
Huitlacoche cocido;taza;200;1;31;1.2;0.1;0;0;6.2;ND;1.8;0;Verduras
Ibes frescos;taza;125;1;133;10.4;0.3;0;0;22.1;ND;2.8;2;Verduras
Jícama picada;taza;120;1;38;0.7;0.1;0;0;8.8;1.8;4.9;4;Verduras
Jitomate;pieza;123;1;18;0.9;0.2;0.1;0;3.9;2.6;1.2;5;Verduras
Jitomate bola;pieza;123;1;18;0.9;0.2;0.1;0;3.9;2.6;1.2;5;Verduras
Jitomate cereza;pieza;25;1;18;0.9;0.2;0.1;0;3.9;2.6;1.2;5;Verduras
Jitomate deshidratado;pieza;2;1;225;15;5;0;0;42.5;27.5;20;125;Verduras
Jitomate guaje o saladet;pieza;65;1;18;0.9;0.2;0.1;0;3.9;2.6;1.2;5;Verduras
Jitomate verde;pieza;123;1;23;1.2;0.2;0;0;5.1;4;1.1;13;Verduras
Jitomatillo (miltomate);pieza;25;1;35;1.5;0.1;0;0;7.1;ND;1.5;8;Verduras
Jugo de tomate;taza;243;1;17;0.8;0.1;0;0;4.2;3.6;0.4;269;Verduras
Jugo de verduras;taza;242;1;19;0.6;0.1;0;0;4.6;3.3;0.8;270;Verduras
Jugo de zanahoria;taza;236;1;40.2;1;0.2;0;0;9.3;3.9;0.8;28.8;Verduras
Lechuga;taza;47;1;17;1.2;0.3;0;0;3.3;1.2;2.1;8;Verduras
Lengua de vaca;g;1;1;27;2;0.7;0;0;3.2;ND;0.8;4;Verduras
Lenteja germinada cocida;taza;77;1;101;8.8;0.5;0.1;0;21.3;ND;ND;10;Verduras
Malva;g;1;1;40;4.8;0.6;0;0;3.9;ND;0.9;ND;Verduras
Morillas deshidratadas;g;1;1;270;32;4;0.1;0;44;ND;25;4;Verduras
Morillas frescas;g;1;1;27;3.2;0.4;0.1;0;4.4;ND;2.5;4;Verduras
Nabo cocido;g;1;1;22;0.7;0.1;0;0;5.1;3;2;16;Verduras
Nopal cocido;taza;149;1;14.8;1.3;0.1;0;0;3.3;1.1;2;20.1;Verduras
Nopal crudo;pieza;70;1;16;1.3;0.1;0;0;3.3;1.2;2.2;21;Verduras
Nopal crudo de cambray;pieza;25;1;27;1.7;0.3;0;0;2.9;ND;3.5;0;Verduras
Papaloquelite crudo;taza;60;1;22;1.8;0.3;0;0;2.9;ND;0.9;ND;Verduras
Papilla de verduras mixtas;frasco;130;1;44;1.2;0.1;0;0;9.5;1.8;1.5;8;Verduras
Pepinillos crudos;taza;240;1;29.2;1.4;1.3;0;0;4.1;ND;0;1337.5;Verduras
Pepinillos dulces;cucharada;15;1;133.3;0.7;0.7;0;0;35.3;ND;1.3;813.3;Verduras
Pepino con cáscara rebanado;taza;104;1;15;0.7;0.1;0;0;3.6;1.7;0.5;1.9;Verduras
Perejil crudo picado;taza;60;1;36;3;0.8;0;0;6.3;0.9;3.3;56;Verduras
Pimiento amarillo crudo chico;pieza;75;1;26.9;1;0.2;0;0;6.3;ND;0.9;2.2;Verduras
Pimiento cocido;taza;136;1;27.9;0.9;0.1;0;0;6.8;ND;1.2;1.5;Verduras
Pimiento fresco;taza;60;1;28;0.8;0.2;0;0;6.4;2.6;1.8;2;Verduras
Pimiento rojo crudo chico;pieza;75;1;26.9;1;0.2;0;0;6.3;ND;0.9;4;Verduras
Pimiento verde crudo chico;pieza;75;1;26.9;1;0.2;0;0;6.3;ND;0.9;3;Verduras
Poro crudo;taza;160;1;66;1.6;0.3;0;0;14.1;1.8;3.9;20;Verduras
Puerro crudo;pieza;89;1;61;1.5;0.3;0;0;14.5;1.8;3.9;20;Verduras
Puerro hervido sin sal;pieza;124;1;31;0.8;0.2;0;0;7.6;2.1;1;10;Verduras
Puré de tomate enlatado;taza;250;1;38;1.7;0.2;0;0;9;4.8;2.4;28;Verduras
Quelite crudo;g;1;1;39;4.8;0.4;0.1;0;4;ND;1.2;20;Verduras
Rábano crudo rebanado;taza;116;1;16;0.7;0.1;0;0;3.4;1.9;1.6;39;Verduras
Romeritos crudos;g;1;1;36;3.6;0.2;0;0;4.9;ND;1;ND;Verduras
Salsa de chile;taza;230;1;24;1;0.2;0;0;4.5;ND;2.4;13;Verduras
Salsifí;g;1;1;77;1.1;0.2;0;0;17.8;ND;1.8;20;Verduras
Semilla de guaje verde;g;1;1;95;8.7;0.6;0;0;13.7;ND;1.8;ND;Verduras
Setas cocidas;taza;156;1;27;3.2;0.4;0;0;4.4;ND;2.5;ND;Verduras
Setas crudas;g;1;1;27;3.2;0.4;0.1;0;4.4;ND;2.5;4;Verduras
Tomate verde;pieza;20;1;24;1;0.2;0;0;4.5;ND;2.4;13;Verduras
Tomatitos (tomiles);g;1;1;40;3.5;0.1;0;0;6.3;ND;1.3;13;Verduras
Verdolaga cocida;taza;115;1;18;1.5;0.2;0;0;3.6;ND;0.8;44.8;Verduras
Verdolaga cruda limpia;taza;96;1;16;1.3;0.1;0;0;3.4;ND;0.8;45;Verduras
Xoconostle;pieza;34;1;25;0.1;0.4;0;0;5.2;ND;2.3;ND;Verduras
Yemitas (hongo) crudas;taza;80;1;17;3;1.1;0;0;4;ND;2.2;ND;Verduras
Yerbamora cruda;g;1;1;50;4.8;0.8;0;0;8.8;ND;1.4;ND;Verduras
Zanahoria baby (miniatura) cruda;pieza;15;1;35;0.6;0.1;0;0;8.2;4.8;2.9;78;Verduras
Zanahoria picada cruda;taza;128;1;41;0.9;0.2;0;0;9.6;4.7;2.8;69;Verduras
Zanahoria rallada cruda;taza;110;1;41;0.9;0.2;0;0;9.6;4.7;2.8;69;Verduras
Chaya;taza;49;1;32;3;1;0;0;5;0;0;38;Verduras
Galletas globitos;pieza;0.8;1;452;9.3;16;7.3;0;67.7;8.7;1.7;1267;Cereales y tubérculos con grasa
Pan thin;pieza;28;1;184;9.2;2.3;0.8;0;31.6;2.7;10.6;344;Cereales y tubérculos sin grasa
Gusano blanco de maguey;gramos;1;1;608.8;35.85;41.76;ND;ND;22.39;0;4.92;0.1751;AOAM
Escamol;gramos;1;1;570;43.54;34;ND;ND;22.46;0;1.73;0.8236;AOAM
Chapulines secos;gramos;1;1;637;63.11;14.94;ND;ND;21.95;0;11.36;0.889;AOAMB
Acai;cucharada;6;1;309;5;23;5;0;61;0.33;39;0;Frutas
Chicharrón de soya;gramos;1;1;284.85;6;83.42;0;0;14;0;100;0;Aceites y grasas sin proteína
Discos de amaranto;pieza;30;1;545.4;55.45;9;2.72;0;363.6;0;6.27;727.2;Cereales y tubérculos sin grasa
Edamame;taza;180;1;109;11.22;4.73;0;0;7.61;2.48;4.8;6;Verduras
Germen de trigo;cucharada;30;1;382;29.1;10.7;1.83;0;49.6;7.8;15.1;4;Cereales y tubérculos con grasa
Linaza;cucharada;12;1;534;18.29;42.16;3.663;0;28.88;1.55;27.3;30;Cereales y tubérculos sin grasa
Sope de maíz;pieza;35;1;105.4;2.875;0.775;0.125;0;45.33;0;9.35;21.67;Cereales y tubérculos con grasa
Tlacoyo;pieza;35;1;206;12.14;15.63;0;0;41.9;0;0.22;231.32;Cereales y tubérculos con grasa
Alegrías;pieza;14;1;353;8;3;1;0;74;54;7;5.36;Cereales y tubérculos sin grasa
Arroz para sushi;taza;164;1;360;6;0;0;0;80;0;2;0;Cereales y tubérculos sin grasa
Atole sabor cajeta;cucharada;9;1;388;0;0;0;0;88.8;0;0;555.5;Cereales y tubérculos sin grasa
Atole sabor chocolate;cucharada;9;1;371.26;1.32;3.7;2.46;0;83.2;0.46;1.64;185.84;Cereales y tubérculos sin grasa
Atole sabor fresa;cucharada;9;1;377.56;0.64;4.44;3.06;0;83.78;0.62;0.82;184.16;Cereales y tubérculos sin grasa
Atole sabor nuez;cucharada;9;1;377.56;0.64;4.44;3.06;0;83.78;0.62;0.82;184.16;Cereales y tubérculos sin grasa
Atole sabor vainilla;cucharada;9;1;377.56;0.64;4.44;3.06;0;83.78;0.62;0.82;184.16;Cereales y tubérculos sin grasa
Barra de amaranto;pieza;14;1;353;8;3;1;0;74;54;7;5.36;Cereales y tubérculos sin grasa
Barra de amaranto sabor chocolate;pieza;14;1;355;5.75;12.75;2.75;0;54.25;31.5;12.75;7.5;Cereales y tubérculos con grasa
Barra de cereal con fruta;pieza;14;1;342;5.9;0.9;0.2;0;77.6;45.24;7.4;16;Cereales y tubérculos sin grasa
Barra de chocolate amaranto;pieza;14;1;355;5.75;12.75;2.75;0;54.25;31.5;12.75;7.5;Cereales y tubérculos con grasa
Chapata;pieza;70;1;250;8.93;0;0;0;51.79;1.79;1.8;625;Cereales y tubérculos sin grasa
Churros;pieza;50;1;419;6.05;22.21;9.247;29;48.87;23.38;2.6;309;Cereales y tubérculos con grasa
Cocoles;pieza;70;1;448;9.7;21.6;0;0;55.4;0;0.6;0;Cereales y tubérculos con grasa
Fideos de arroz;taza;40;1;364;5.95;0.56;0.153;0;80.18;0.12;1.6;182;Cereales y tubérculos sin grasa
Galleta de salvado;pieza;40;1;386.6;8;20;2;20;44;23;14;203;Cereales y tubérculos con grasa
Glorias;pieza;28;1;428.5;7.14;14.28;7.14;0;71.4;60.7;0;178.5;Azúcares con grasa
Harina de avena;cucharada;8;1;404;14.66;9.12;1.607;0;65.7;0.8;6.5;19;Cereales y tubérculos sin grasa
Harina de coco;cucharada;10;1;428.5;21.4;10.71;7.14;0;64.2;21.4;35.7;0;Azúcares con grasa
Harina de malta;cucharada;9;1;361;10.28;1.84;0.386;0;78.3;0.8;7.1;11;Cereales y tubérculos sin grasa
Harina de quinoa;cucharada;8;1;357.13;14.28;3.57;0;0;67.85;3.57;10.7;0;Cereales y tubérculos sin grasa
Harina de tapioca;cucharada;8;1;366.66;0;0;0;0;90;0;0;0;Cereales y tubérculos sin grasa
Harina kamut;cucharada;9;1;375;15;2.5;0;0;72.5;0;10;0;Cereales y tubérculos sin grasa
Harina para churros;cucharada;8;1;362.42;10.84;8.38;2.54;0;60.91;3.66;6.25;869.4;Cereales y tubérculos con grasa
Hot cake con mantequilla congelado;pieza;38;1;233;5.2;6.8;1.1;18;37.75;8.3;1;461;Cereales y tubérculos con grasa
Hot cake congelado;pieza;38;1;231;5.1;5.1;0.43;9;41;9.4;0.8;333;Cereales y tubérculos con grasa
Kamut (trigo de Jorasán) cocido;taza;164;1;132;5.71;0.83;0.077;0;27.6;3.07;4.3;8;Cereales y tubérculos sin grasa
Maca;cucharada;9;1;356.4;13;1.2;0;0;73.4;0;6.5;7.7;Cereales y tubérculos sin grasa
Marinela chocorroles;pieza;33;1;350;5;15;8.75;37.5;57.5;40;2.5;225;Cereales y tubérculos con grasa
Marinela Dálmata;pieza;45;1;392.7;3.63;18.1;12.72;18.1;54.5;38.1;1.8;236.3;Cereales y tubérculos con grasa
Marinela gansito;pieza;46;1;400;4;16;12;30;58;42;2;230;Cereales y tubérculos con grasa
Marinela polvorones;pieza;18;1;482;7.19;21.58;3.59;0;64.7;21.58;0;179.8;Cereales y tubérculos con grasa
Marinela Príncipe blancas;pieza;10;1;476;0;19;9.52;0;76.19;38;0;333.3;Cereales y tubérculos con grasa
Marinela Príncipe chocolate;pieza;10;1;476.2;9.52;19;9.52;0;66.6;38;0;238;Cereales y tubérculos con grasa
Marinela Príncipe Mousse de limón;pieza;10;1;514.2;9.5;19.04;4.76;0;76.19;28.5;0;333.3;Cereales y tubérculos con grasa
Marinela sponch;pieza;20;1;400;6.6;6.6;3.33;0;73.3;40;0;133.3;Cereales y tubérculos sin grasa
Marinela triki trakes;pieza;9;1;494.11;0;23.5;11.76;0;70.5;35.29;0;176.47;Cereales y tubérculos con grasa
Masa para pizza;cucharada;9;1;260;10;3;0;0;50;4;2;580;Cereales y tubérculos sin grasa
Mini chapata;pieza;35;1;250;8.93;0;0;0;51.79;1.79;1.8;625;Cereales y tubérculos sin grasa
Muffin de manzana;pieza;122;1;338;5.63;15.49;2.82;70;46.48;1.41;1.4;648;Cereales y tubérculos con grasa
